File Name,Part1_E,Part3_E,Part7_E,Part10_E,Part11_E,Pressure,Inner_Radius,Outer_Radius,inner_y1,inner_y2,inner_y3,inner_y4,inner_y5,inner_y6,inner_y7,inner_y8,inner_y9,inner_z1,inner_z2,inner_z3,inner_z4,inner_z5,inner_z6,inner_z7,inner_z8,inner_z9,outer_y1,outer_y2,outer_y3,outer_y4,outer_y5,outer_y6,outer_y7,outer_y8,outer_y9,outer_z1,outer_z2,outer_z3,outer_z4,outer_z5,outer_z6,outer_z7,outer_z8,outer_z9,innerShape_x1,innerShape_x2,innerShape_x3,innerShape_x4,innerShape_x5,innerShape_x6,innerShape_x7,innerShape_x8,innerShape_x9,innerShape_y1,innerShape_y2,innerShape_y3,innerShape_y4,innerShape_y5,innerShape_y6,innerShape_y7,innerShape_y8,innerShape_y9,outerShape_x1,outerShape_x2,outerShape_x3,outerShape_x4,outerShape_x5,outerShape_x6,outerShape_x7,outerShape_x8,outerShape_x9,outerShape_y1,outerShape_y2,outerShape_y3,outerShape_y4,outerShape_y5,outerShape_y6,outerShape_y7,outerShape_y8,outerShape_y9
Part1_E(0.01)Part3_E(0.2073)Part11_E(0.2303),0.01,0.2073,1,1,0.2303,0.015,1.25,1.75,1.474599408,1.482800632,1.493655476,1.516115602,1.555611628,1.611746391,1.675988205,1.729364124,1.740153201,0.003852027,0.504645457,1.00587634,1.506493074,2.005808971,2.503698193,3.000791702,3.498673197,4.000075057,-2.452804119,-2.464657161,-2.473297864,-2.499748957,-2.546581788,-2.604308235,-2.657772627,-2.692543656,-2.701306296,0.24245972,0.713018456,1.184885152,1.655239859,2.123625958,2.591039722,3.059019874,3.528737149,4.000083851,1.690176237,1.265740565,0.306928091,-0.747191675,-1.497089146,-1.507972072,-0.766583414,0.314125045,1.281044068,-0.165450845,0.865435957,1.36447349,1.193090047,0.392966376,-0.727832165,-1.557577451,-1.736188265,-1.209190588,2.159666392,1.62238188,0.386850921,-0.979084344,-1.937810867,-1.950578964,-1.003341767,0.395804297,1.642414636,-0.159243099,1.171264089,1.826655043,1.600120342,0.559418071,-0.882546606,-1.960619859,-2.195914841,-1.50660928
Part1_E(0.01)Part3_E(0.2118)Part11_E(0.2011),0.01,0.2118,1,1,0.2011,0.015,1.25,1.75,1.496994331,1.505092678,1.515057785,1.536637705,1.574194527,1.625898536,1.682922375,1.728635208,1.737796884,0.003851947,0.504371961,1.005318607,1.505655316,2.004860394,2.502964791,3.000589871,3.498985177,4.000066199,-2.476009378,-2.487030469,-2.495603196,-2.52066315,-2.564071835,-2.61673352,-2.664712098,-2.695347938,-2.703374737,0.24261368,0.713010199,1.184447549,1.654612298,2.123163009,2.590956097,3.05927169,3.529039485,4.000064608,1.67846925,1.259736097,0.305341294,-0.746893712,-1.490166883,-1.500356823,-0.76485826,0.311977728,1.273969141,-0.170379111,0.856551848,1.357854557,1.185413726,0.38505,-0.72951979,-1.557285572,-1.736246967,-1.209263672,2.148605736,1.61702658,0.385494447,-0.979286679,-1.93148003,-1.94347829,-1.001824788,0.39377957,1.635741608,-0.164553526,1.162513242,1.820737869,1.592996374,0.551348342,-0.884817908,-1.961138636,-2.196828747,-1.507368932
Part1_E(0.01)Part3_E(0.2099)Part11_E(0.1897),0.01,0.2099,1,1,0.1897,0.015,1.25,1.75,1.510625894,1.518881685,1.528881496,1.550835221,1.58877193,1.640334147,1.696572137,1.741738182,1.753080871,0.003879024,0.504387808,1.005325774,1.505631469,2.004807456,2.502921367,3.000606959,3.499065166,4.00006515,-2.489284174,-2.500326756,-2.509193593,-2.53455553,-2.578029514,-2.630378,-2.67770837,-2.707672335,-2.71566535,0.242449358,0.712860526,1.184275692,1.654425997,2.122993032,2.590836245,3.059220358,3.529042785,4.000061044,1.683461221,1.263921272,0.30661094,-0.749400089,-1.494436426,-1.504759997,-0.767441669,0.313263516,1.278367951,-0.177348366,0.852875734,1.356607833,1.183237191,0.379729652,-0.738186562,-1.569180863,-1.74903014,-1.219705285,2.153201833,1.620895701,0.386698096,-0.981586227,-1.935368803,-1.947514698,-1.004221206,0.395002827,1.639846838,-0.171470178,1.158624134,1.819165417,1.590515437,0.545942298,-0.89329884,-1.972658688,-2.20920067,-1.517511016
Part1_E(0.01)Part3_E(0.2228)Part11_E(0.2296),0.01,0.2228,1,1,0.2296,0.015,1.25,1.75,1.461937861,1.469480867,1.478496,1.498097956,1.532913178,1.581843577,1.63683025,1.681617199,1.690515053,0.003738463,0.504187288,1.005025714,1.505356087,2.004671602,2.502940827,3.000692229,3.499098699,4.000062075,-2.442870745,-2.453231348,-2.460579181,-2.483435412,-2.52414775,-2.574475941,-2.621177266,-2.651592039,-2.659229105,0.243369043,0.713601053,1.184843327,1.654939421,2.123532726,2.591375854,3.05964004,3.529224534,4.000065995,1.651967405,1.240059331,0.299476047,-0.737443385,-1.469709941,-1.478961904,-0.754190886,0.305681432,1.252793111,-0.14789846,0.864128755,1.357928937,1.188209564,0.399388186,-0.698555175,-1.513012427,-1.688915994,-1.170620663,2.124019534,1.598974147,0.380032199,-0.970949427,-1.91284767,-1.923804304,-0.991999368,0.38779966,1.615936692,-0.142521574,1.170986686,1.822517643,1.597311612,0.565909755,-0.854936784,-1.918812626,-2.151609343,-1.470305668
Part1_E(0.01)Part3_E(0.2314)Part11_E(0.2408),0.01,0.2314,1,1,0.2408,0.015,1.25,1.75,1.447096722,1.454229643,1.462572354,1.480810046,1.513488614,1.559738215,1.611996846,1.654733908,1.663173777,0.003680993,0.504042517,1.004757653,1.505028636,2.004391091,2.50280188,3.000726956,3.499229212,4.000056325,-2.429334276,-2.439114343,-2.44575559,-2.467022288,-2.505355782,-2.553093694,-2.597689127,-2.626929866,-2.634157582,0.243838986,0.71394319,1.184979374,1.654989428,2.123636258,2.591587304,3.059898065,3.529395616,4.000062128,1.633570012,1.22705771,0.295663375,-0.731832782,-1.456005238,-1.464559157,-0.74754246,0.30148961,1.238700617,-0.136142219,0.866175117,1.356167035,1.187772508,0.405636328,-0.681036629,-1.487265471,-1.661491627,-1.148238582,2.106908664,1.587092376,0.37651461,-0.966118623,-1.900363594,-1.910541288,-0.985897902,0.38382415,1.60275017,-0.131112943,1.173607607,1.821950236,1.597917764,0.572262461,-0.838189094,-1.894400769,-2.125627986,-1.44901197
Part1_E(0.01)Part3_E(0.2169)Part11_E(0.1771),0.01,0.2169,1,1,0.1771,0.015,1.25,1.75,1.516275809,1.52398494,1.533318985,1.553669554,1.588635818,1.635866269,1.686900478,1.727010848,1.735044381,0.003907879,0.504229455,1.004911972,1.505046982,2.004234192,2.502559471,3.000572853,3.49926654,4.000052911,-2.496062216,-2.506239873,-2.514528183,-2.537942393,-2.57779848,-2.625498589,-2.668316475,-2.695182946,-2.702471303,0.242883947,0.713117818,1.184173966,1.654174499,2.122866381,2.590973085,3.059546256,3.529317357,4.000049332,1.665568985,1.252610172,0.303344157,-0.746012234,-1.482324231,-1.491823832,-0.762582577,0.309429781,1.265750925,-0.173724752,0.848431214,1.351315202,1.178057625,0.378328321,-0.729237856,-1.55420584,-1.73327512,-1.20691675,2.136440874,1.610623383,0.383739345,-0.978949382,-1.924321325,-1.93554617,-0.999802251,0.391366732,1.627994235,-0.168286237,1.154583879,1.814972048,1.586260588,0.544501464,-0.885155314,-1.958949223,-2.194798262,-1.505772843
Part1_E(0.01)Part3_E(0.2135)Part11_E(0.1625),0.01,0.2135,1,1,0.1625,0.015,1.25,1.75,1.537274309,1.545108811,1.554656853,1.57544123,1.610783066,1.657948119,1.708293082,1.747411889,1.755282013,0.003980487,0.504279368,1.00493538,1.505023355,2.004166072,2.502483062,3.000539416,3.499294589,4.00005121,-2.516379238,-2.526607701,-2.535281261,-2.559101132,-2.59908026,-2.646436874,-2.688488031,-2.714543161,-2.721797615,0.242658043,0.712915122,1.183954482,1.653944474,2.122657521,2.590822156,3.059475059,3.5293131,4.000045373,1.674000219,1.259490216,0.30538898,-0.750034367,-1.489465344,-1.499202675,-0.766786867,0.311521267,1.272994487,-0.184510405,0.843055917,1.349674956,1.17498742,0.370299223,-0.742866563,-1.573022285,-1.753470576,-1.223417773,2.144215074,1.616972762,0.385668467,-0.982620804,-1.930832491,-1.942321554,-1.003701993,0.393353509,1.634755883,-0.178976085,1.14886,1.81277678,1.58267711,0.536338628,-0.898468225,-1.977140742,-2.214309469,-1.521774496
Part1_E(0.01)Part3_E(0.2211)Part11_E(0.184),0.01,0.2211,1,1,0.184,0.015,1.25,1.75,1.504366899,1.511873674,1.520868151,1.540525179,1.57449148,1.62062233,1.67071823,1.710261588,1.718153397,0.003873845,0.504165774,1.004805148,1.504930858,2.00415167,2.502536303,3.0006035,3.49931211,4.000051163,-2.484886386,-2.494808576,-2.502690973,-2.525328122,-2.5641608,-2.61088116,-2.653037859,-2.679641195,-2.686768245,0.243146757,0.713321101,1.184299721,1.654269769,2.122977312,2.591109173,3.059674781,3.529388022,4.000049082,1.655579338,1.245293642,0.301184849,-0.742579974,-1.474662371,-1.483805546,-0.758665273,0.307097772,1.257874914,-0.165929778,0.850694687,1.350970309,1.178653519,0.383071113,-0.718260925,-1.538371773,-1.716361037,-1.193120575,2.127163409,1.603915193,0.381733473,-0.975935368,-1.917337738,-1.928164234,-0.996193971,0.389152615,1.620624328,-0.16066357,1.157177965,1.815269168,1.587425672,0.549322171,-0.874585883,-1.943839768,-2.178669214,-1.49256538
Part1_E(0.01)Part3_E(0.21)Part11_E(0.1411),0.01,0.21,1,1,0.1411,0.015,1.25,1.75,1.570618158,1.578536681,1.588205978,1.609189987,1.644324949,1.690344868,1.738506977,1.775217195,1.782655596,0.004152686,0.504374514,1.004932727,1.504917086,2.004001108,2.502349407,3.000525016,3.49939673,4.000046429,-2.54890856,-2.559016045,-2.568062887,-2.591943005,-2.631208209,-2.676998507,-2.716972395,-2.741237165,-2.748279196,0.242454057,0.712703012,1.183644089,1.653590723,2.122361104,2.590659026,3.059454739,3.529365792,4.000037884,1.683050215,1.267525563,0.307749342,-0.755472963,-1.497857652,-1.507789959,-0.772206911,0.313834883,1.2812963,-0.200044635,0.834058289,1.346134146,1.169298855,0.357909113,-0.76161579,-1.598369812,-1.78073281,-1.245711981,2.152508191,1.624423718,0.387917609,-0.987686224,-1.938495792,-1.950201301,-1.008756322,0.395550134,1.642491897,-0.19445831,1.139420095,1.808625567,1.576403896,0.523737193,-0.91690994,-2.001812505,-2.240824629,-1.543537286
Part1_E(0.01)Part3_E(0.2168)Part11_E(0.1353),0.01,0.2168,1,1,0.1353,0.015,1.25,1.75,1.568587189,1.57607673,1.584996389,1.604401457,1.636847356,1.679148477,1.723137024,1.756421854,1.763147327,0.004236662,0.504325012,1.004702157,1.504585622,2.00370647,2.502217874,3.000603686,3.499587015,4.000038795,-2.548067383,-2.55743329,-2.565771046,-2.587762656,-2.623879887,-2.66590784,-2.702468531,-2.724544459,-2.731002187,0.242958136,0.713054224,1.18373366,1.653573075,2.122421728,2.590876431,3.059756474,3.529578547,4.000031665,1.665236627,1.255661331,0.304216546,-0.751381862,-1.485486649,-1.494679667,-0.766860173,0.309817967,1.26822525,-0.193673819,0.831878975,1.341960855,1.16568478,0.359168335,-0.749864124,-1.579839372,-1.761072555,-1.229777639,2.135848711,1.613598101,0.384676517,-0.98433216,-1.927220539,-1.9380934,-1.003875356,0.391730074,1.63021373,-0.188484087,1.137693078,1.805541647,1.573721286,0.525008882,-0.90593049,-1.98453683,-2.222509064,-1.528639951
