File Name,Part1_E,Part3_E,Part7_E,Part10_E,Part11_E,Pressure,Inner_Radius,Outer_Radius,inner_y1,inner_y2,inner_y3,inner_y4,inner_y5,inner_y6,inner_y7,inner_y8,inner_y9,inner_z1,inner_z2,inner_z3,inner_z4,inner_z5,inner_z6,inner_z7,inner_z8,inner_z9,outer_y1,outer_y2,outer_y3,outer_y4,outer_y5,outer_y6,outer_y7,outer_y8,outer_y9,outer_z1,outer_z2,outer_z3,outer_z4,outer_z5,outer_z6,outer_z7,outer_z8,outer_z9,innerShape_x1,innerShape_x2,innerShape_x3,innerShape_x4,innerShape_x5,innerShape_x6,innerShape_x7,innerShape_x8,innerShape_x9,innerShape_y1,innerShape_y2,innerShape_y3,innerShape_y4,innerShape_y5,innerShape_y6,innerShape_y7,innerShape_y8,innerShape_y9,outer_circle_x1,outer_circle_x2,outer_circle_x3,outer_circle_x4,outer_circle_x5,outer_circle_x6,outer_circle_x7,outer_circle_x8,outer_circle_x9,outer_circle_y1,outer_circle_y2,outer_circle_y3,outer_circle_y4,outer_circle_y5,outer_circle_y6,outer_circle_y7,outer_circle_y8,outer_circle_y9,outerShape_x1,outerShape_x2,outerShape_x3,outerShape_x4,outerShape_x5,outerShape_x6,outerShape_x7,outerShape_x8,outerShape_x9,outerShape_y1,outerShape_y2,outerShape_y3,outerShape_y4,outerShape_y5,outerShape_y6,outerShape_y7,outerShape_y8,outerShape_y9
Part1_E(0.016)Part3_E(0.201)Part11_E(0.1807),0.16,0.201,1,1,0.1807,0.019,1.25,1.75,1.681777367,1.692467112,1.711181201,1.75106488,1.815167612,1.897117575,1.981796162,2.046012476,2.059177833,0.000234583,0.502635224,1.005934289,1.507324401,2.005891731,2.502262597,2.998250054,3.496500486,4.000140209,-2.640585687,-2.658793624,-2.677772286,-2.723877105,-2.796040307,-2.877058888,-2.944882583,-2.983901842,-2.996235809,0.236411328,0.708668024,1.182789998,1.653634194,2.12088989,2.586991808,3.055033215,3.526679028,4.000078919,1.871080079,1.393405024,0.344619564,-0.805560201,-1.632639883,-1.653846889,-0.837899054,0.356348718,1.424571141,-0.31867263,0.808398572,1.351122197,1.163537272,0.293822507,-0.938890527,-1.856890041,-2.054976945,-1.471912828,2.327355928,1.73840457,0.421565553,-1.029436817,-2.060686342,-2.084930169,-1.069301258,0.435868991,1.776871677,-0.307810728,1.10932783,1.80261664,1.560866616,0.460219829,-1.084657687,-2.245530086,-2.499347783,-1.757294911,2.798047102,2.099674503,0.487321027,-1.217916467,-2.506522102,-2.527896927,-1.307134603,0.515144119,2.136726469,-0.300868418,1.420919771,2.196814795,1.890599252,0.628941122,-1.238029628,-2.645897352,-2.957369473,-2.054622799
Part1_E(0.016)Part3_E(0.2024)Part11_E(0.208),0.16,0.2024,1,1,0.208,0.019,1.25,1.75,1.635593887,1.646336713,1.664947136,1.70455898,1.769241752,1.853706325,1.943010639,2.012265386,2.026339711,0.000245794,0.502852593,1.006438662,1.508128417,2.006821017,2.50298393,2.998446488,3.49619345,4.000158555,-2.595294898,-2.613905887,-2.632131393,-2.678342937,-2.752343395,-2.83682206,-2.908809701,-2.951133626,-2.963872747,0.236823449,0.709148616,1.183684176,1.654694516,2.12172207,2.587346536,3.054944095,3.526446632,4.000100952,1.862259212,1.384415896,0.341742269,-0.799033725,-1.624011128,-1.645142522,-0.831654617,0.353601979,1.415343971,-0.299923124,0.819848272,1.355201053,1.170478823,0.30932522,-0.916867023,-1.826821615,-2.022297897,-1.445664632,2.319261253,1.729952166,0.418755034,-1.023221001,-2.052801495,-2.076914078,-1.063410346,0.433216657,1.768183122,-0.28907806,1.121223091,1.807157503,1.56829864,0.475970536,-1.062895149,-2.216060269,-2.467320758,-1.731530202,2.790175649,2.092265267,0.484165576,-1.211246473,-2.500255994,-2.519265833,-1.300336117,0.512025731,2.126920005,-0.284460556,1.431419344,2.197517349,1.894826988,0.64293016,-1.218340105,-2.617039284,-2.925494659,-2.030316186
Part1_E(0.016)Part3_E(0.2036)Part11_E(0.2002),0.16,0.2036,1,1,0.2002,0.019,1.25,1.75,1.645104946,1.655653569,1.673934295,1.712924189,1.776377748,1.858803868,1.94544282,2.012243215,2.025838983,0.000235367,0.502701556,1.006098522,1.507656712,2.006358676,2.502699239,2.998445687,3.496397943,4.000148744,-2.605043061,-2.623239697,-2.641276462,-2.68660357,-2.758856475,-2.841067666,-2.910878466,-2.951750824,-2.964179113,0.236924138,0.709140576,1.183416622,1.654349305,2.121526499,2.587401494,3.055167553,3.526632481,4.000093182,1.858042231,1.382414594,0.34124256,-0.799006855,-1.621564915,-1.642314482,-0.830984497,0.352860688,1.412792233,-0.30114071,0.817312578,1.353587234,1.168470203,0.307061004,-0.91689887,-1.826133957,-2.021749214,-1.445101733,2.315296646,1.728194049,0.418343318,-1.02338584,-2.05057662,-2.074289968,-1.062827797,0.432527243,1.765796795,-0.29047308,1.118701647,1.805773011,1.566472911,0.473615088,-1.06318456,-2.215729919,-2.467151473,-1.731269911,2.786451123,2.090189791,0.4839858,-1.211972408,-2.49798697,-2.517036564,-1.300070452,0.511513361,2.125006924,-0.285510787,1.428854966,2.197553169,1.894381433,0.640935363,-1.218443436,-2.616990029,-2.925727219,-2.030069077
Part1_E(0.016)Part3_E(0.2076)Part11_E(0.1929),0.16,0.2076,1,1,0.1929,0.019,1.25,1.75,1.648974628,1.659020718,1.676358078,1.713500346,1.773862133,1.851969069,1.933667843,1.996336244,2.009093203,0.000212942,0.502412595,1.005452699,1.506816548,2.005611634,2.502320202,2.998549796,3.49678382,4.00013208,-2.609953791,-2.627233331,-2.644373146,-2.687334647,-2.755738365,-2.833498765,-2.899459044,-2.938025949,-2.949804575,0.237411652,0.709373197,1.183170671,1.653979816,2.121434714,2.587728648,3.055714965,3.527007939,4.000083631,1.842553863,1.372755192,0.338487954,-0.795897556,-1.611000679,-1.630720268,-0.826313568,0.349525595,1.401560819,-0.295627359,0.815850716,1.35110912,1.166267361,0.308239797,-0.906675868,-1.810199656,-2.004952729,-1.431293153,2.300825969,1.719441505,0.41585592,-1.020936933,-2.040958227,-2.063567244,-1.058558331,0.429374934,1.755262269,-0.285437466,1.117495855,1.804134974,1.564996671,0.474672562,-1.053769154,-2.201029114,-2.451671672,-1.718494616,2.772725217,2.081067129,0.481971813,-1.210822778,-2.489003034,-2.507083751,-1.296224018,0.508623354,2.115221179,-0.280622887,1.426890025,2.197987866,1.895142882,0.64214909,-1.209484929,-2.603318925,-2.911383807,-2.017993969
Part1_E(0.016)Part3_E(0.2078)Part11_E(0.2428),0.16,0.2078,1,1,0.2428,0.019,1.25,1.75,1.577228188,1.589644838,1.608709691,1.647002883,1.709725862,1.793265102,1.883755832,1.955645753,1.97025876,0.004112385,0.506259204,1.009309079,1.510675173,2.009158787,2.504972332,2.999762294,3.496632206,4.000165614,-2.543637008,-2.561892309,-2.578129724,-2.621991711,-2.694526974,-2.779241661,-2.85315055,-2.897828248,-2.910460373,0.237856821,0.710015517,1.184639311,1.655771899,2.122790199,2.588193667,3.055393605,3.526502474,4.000123206,1.837796078,1.364726135,0.335714632,-0.788120886,-1.604052289,-1.62419123,-0.819744936,0.347235584,1.39398056,-0.271328315,0.833216202,1.358363244,1.177498112,0.330093532,-0.880084719,-1.774925426,-1.96635053,-1.40043884,2.2966146,1.711738491,0.413045127,-1.013281756,-2.034616476,-2.057609416,-1.05231034,0.427131943,1.748125669,-0.260925309,1.135379885,1.811639704,1.576574351,0.496945116,-1.027156817,-2.166020776,-2.413372607,-1.687836266,2.768449142,2.074981601,0.478402444,-1.201808973,-2.4847191,-2.499819356,-1.288434016,0.505554346,2.106052737,-0.259460566,1.443012023,2.198778538,1.900790297,0.661742028,-1.185687852,-2.568691001,-2.872745294,-1.989131316
Part1_E(0.016)Part3_E(0.2139)Part11_E(0.2234),0.16,0.2139,1,1,0.2234,0.019,1.25,1.75,1.592140306,1.603830904,1.620558894,1.656250093,1.715381187,1.793116922,1.875447305,1.939324797,1.952801515,0.003995884,0.505733472,1.00828145,1.509266039,2.007741857,2.504057767,2.999722702,3.497271515,4.000130803,-2.559948374,-2.576810936,-2.592162871,-2.632876259,-2.699633038,-2.777144464,-2.844370567,-2.884739611,-2.896367553,0.238378652,0.710170981,1.183975413,1.654855465,2.122319709,2.588470582,3.056153201,3.527104169,4.000100392,1.816710957,1.352394258,0.33233177,-0.784864808,-1.590110132,-1.608751037,-0.814125034,0.342976297,1.379427804,-0.267324345,0.828432476,1.353714296,1.172645552,0.328347519,-0.86978511,-1.757970615,-1.948723607,-1.385781982,2.276890696,1.700646484,0.410049844,-1.010947293,-2.021919066,-2.043316441,-1.047208924,0.423125031,1.734491025,-0.257614398,1.130899966,1.808173895,1.572723564,0.494978796,-1.017988436,-2.150755438,-2.397548179,-1.674595311,2.749800245,2.063037567,0.47618499,-1.20153503,-2.472594662,-2.486821619,-1.284166955,0.502038831,2.093785933,-0.255853775,1.437661518,2.199246625,1.901018034,0.660393537,-1.176743385,-2.554824067,-2.85857907,-1.976615644
Part1_E(0.016)Part3_E(0.2228)Part11_E(0.2393),0.16,0.2228,1,1,0.2393,0.019,1.25,1.75,1.562287207,1.573791672,1.588318951,1.620355222,1.675131716,1.748613641,1.827489117,1.889158097,1.901721305,0.004075998,0.505514406,1.007838703,1.508794147,2.007440686,2.50404537,2.999974765,3.497587372,4.000126038,-2.532452895,-2.548238863,-2.561759114,-2.59902074,-2.661309472,-2.734621782,-2.799096978,-2.838449309,-2.849400057,0.239399421,0.710875675,1.184256803,1.655050144,2.122742077,2.589166076,3.05687076,3.527487952,4.000100731,1.7861694,1.330668066,0.326072943,-0.774785651,-1.566839155,-1.583869254,-0.80190865,0.335966181,1.355287029,-0.244379888,0.834883904,1.352899162,1.17454732,0.342068895,-0.837031163,-1.710282141,-1.897759814,-1.344317528,2.248524646,1.680783628,0.404269139,-1.002159328,-2.000712591,-2.020350056,-1.035904276,0.416477656,1.711874309,-0.23539466,1.13815747,1.80911252,1.576208343,0.508741227,-0.986671307,-2.105442099,-2.349133008,-1.635099899,2.722777237,2.043162684,0.470834466,-1.194478783,-2.453633222,-2.464565941,-1.272822248,0.495391665,2.071426137,-0.235711449,1.442457983,2.200389247,1.905479811,0.672972367,-1.147771788,-2.51157525,-2.812048604,-1.939382778
Part1_E(0.016)Part3_E(0.236)Part11_E(0.1565),0.16,0.236,1,1,0.1565,0.019,1.25,1.75,1.650372954,1.660177841,1.672134538,1.698851289,1.742849677,1.79861843,1.854667243,1.895580584,1.904071511,0.004255464,0.504754664,1.005771991,1.505838297,2.0045596,2.502337015,3.000086669,3.498959633,4.000061845,-2.622488204,-2.634844254,-2.646872008,-2.67688885,-2.724555393,-2.778489035,-2.82387751,-2.850092445,-2.858302912,0.240465274,0.711184377,1.182786904,1.652952819,2.121510412,2.589518911,3.058351088,3.528775875,4.000040973,1.749248622,1.31298864,0.321226646,-0.775741631,-1.546636654,-1.560788098,-0.797615321,0.329078733,1.333265596,-0.259946119,0.80825236,1.33529684,1.152865047,0.317517822,-0.842563662,-1.7106397,-1.89971419,-1.345170987,2.213659004,1.665189154,0.400180174,-1.004738495,-1.982356124,-1.998900625,-1.032274219,0.410001935,1.691151785,-0.252415114,1.111715209,1.793557736,1.556126032,0.483456335,-0.994302702,-2.108645091,-2.354083687,-1.638380363,2.689952066,2.024814284,0.469234686,-1.202778627,-2.434147864,-2.446905842,-1.2723671,0.490747953,2.055424298,-0.248336351,1.417132056,2.200695993,1.900420882,0.651935704,-1.152553031,-2.516727235,-2.820174373,-1.941801558
Part1_E(0.016)Part3_E(0.2383)Part11_E(0.2211),0.16,0.2383,1,1,0.2211,0.019,1.25,1.75,1.564020755,1.574039354,1.586674378,1.613925704,1.660288977,1.722534298,1.789484907,1.841795876,1.851732789,0.00400365,0.504900929,1.00642347,1.506987129,2.005902095,2.503328558,3.000232386,3.498340794,4.000098024,-2.537080339,-2.550595456,-2.562153829,-2.593878731,-2.646807003,-2.708973041,-2.763492779,-2.796647678,-2.805968711,0.240631771,0.711555994,1.1838458,1.654278541,2.122487303,2.589789092,3.058013024,3.528328516,4.000073474,1.741550244,1.302192153,0.317974737,-0.765017595,-1.53579862,-1.550222302,-0.788122035,0.326383962,1.322891357,-0.227357567,0.831169888,1.345319135,1.168137481,0.346425487,-0.806393848,-1.6628675,-1.847719854,-1.303267275,2.2068763,1.654981411,0.396944641,-0.994312828,-1.97245017,-1.989248881,-1.023283871,0.407416731,1.681500031,-0.219610218,1.135376002,1.80414342,1.572053761,0.512904057,-0.958232993,-2.061450012,-2.302748205,-1.596903997,2.683270349,2.016162848,0.46490031,-1.190546255,-2.42715756,-2.435625029,-1.261344612,0.487038022,2.0431044,-0.220348735,1.43751864,2.201627465,1.90803191,0.677540428,-1.120620123,-2.47039097,-2.76873662,-1.903124037
Part1_E(0.016)Part3_E(0.2424)Part11_E(0.1405),0.16,0.2424,1,1,0.1405,0.019,1.25,1.75,1.664399435,1.673518265,1.684727806,1.708794242,1.747991732,1.797655619,1.84773564,1.884349127,1.89133422,0.00451271,0.504771477,1.00541883,1.505334435,2.00419813,2.502299159,3.000345419,3.499272694,4.000053897,-2.637507803,-2.648760427,-2.659813973,-2.687006583,-2.729842961,-2.777952964,-2.818050196,-2.840890605,-2.848231075,0.24112232,0.711600281,1.182764468,1.652778387,2.121520405,2.589845781,3.058848693,3.529124271,4.000030627,1.731625696,1.302358381,0.317960294,-0.773490157,-1.535685857,-1.548836933,-0.793645025,0.325132492,1.320969861,-0.258099455,0.802878064,1.330093266,1.147307632,0.314642683,-0.835630812,-1.698411884,-1.886961792,-1.334704759,2.197115609,1.655578449,0.397224928,-1.00323092,-1.972423143,-1.987861123,-1.0287087,0.406247712,1.679576451,-0.251097316,1.106635444,1.789352011,1.551400905,0.480437341,-0.988245755,-2.097719852,-2.342711505,-1.629012358,2.67425761,2.01461239,0.467119073,-1.203268643,-2.424441885,-2.437035398,-1.26962129,0.487503866,2.045171717,-0.246263612,1.411990619,2.20113475,1.900157099,0.64983665,-1.146221419,-2.506744641,-2.81001504,-1.932648503
